userCMD,action
jarvis open,open file explorer
open file explorer please,open file explorer
open the file explorer,open file explorer
launch file explorer,open file explorer
open the file explorer,open file explorer
access file explorer,open file explorer
start file explorer,open file explorer
begin file explorer,open file explorer
initiate file explorer,open file explorer
bring up file explorer,open file explorer
fire up file explorer,open file explorer
activate file explorer,open file explorer
commence file explorer,open file explorer
unlock file explorer,open file explorer
run file explorer,open file explorer
kick off file explorer,open file explorer
commence file explorer,open file explorer
start up file explorer,open file explorer
turn on file explorer,open file explorer
unleash file explorer,open file explorer
get into file explorer,open file explorer
crank up file explorer,open file explorer
open up the file manager,open file explorer
access the file browser,open file explorer
launch the file navigator,open file explorer
start the file manager,open file explorer
begin the file explorer,open file explorer
fire the file browser,open file explorer
activate the file explorer,open file explorer
unveil file explorer,open file explorer
crack open,open file explorer
release file explorer,open file explorer
set file explorer in motion,open file explorer
jarvis close,close file explorer
close,close file explorer
close the file explorer,close file explorer
exit file explorer,close file explorer
close the file explorer,close file explorer
shut down file explorer,close file explorer
end file explorer,close file explorer
terminate file explorer,close file explorer
wrap up file explorer,close file explorer
conclude file explorer,close file explorer
finish with file explorer,close file explorer
cease file explorer,close file explorer
complete file explorer,close file explorer
close out file explorer,close file explorer
wrap up file explorer,close file explorer
shut file explorer down,close file explorer
conclude operation in file explorer,close file explorer
halt file explorer,close file explorer
bring file explorer to a close,close file explorer
terminate file explorer session,close file explorer
finalize file explorer,close file explorer
stop using file explorer,close file explorer
wind down file explorer,close file explorer
log off file explorer,close file explorer
sign out of file explorer,close file explorer
end the file explorer session,close file explorer
wrap things up in file explorer,close file explorer
call it a day in file explorer,close file explorer
close the file explorer window,close file explorer
finish working in file explorer,close file explorer
put an end to file explorer,close file explorer
log out of file explorer,close file explorer
complete tasks in file explorer,close file explorer
jarvis open paint,open paint
open the paint,open paint
please open paint,open paint
start paint,open paint
open paint,open paint
launch paint,open paint
run paint,open paint
access paint,open paint
begin paint,open paint
fire up paint,open paint
initiate paint,open paint
bring up paint,open paint
commence paint,open paint
start up paint,open paint
activate paint,open paint
load paint,open paint
run microsoft paint,open paint
open up paint,open paint
get into paint,open paint
start the painting program,open paint
kick off paint,open paint
start the drawing tool,open paint
open the paint application,open paint
begin the graphics editor,open paint
unleash paint,open paint
fire the drawing software,open paint
start the illustration tool,open paint
activate the image editor,open paint
turn on paint,open paint
access the painting application,open paint
launch the graphic design tool,open paint
commence the drawing program,open paint
open the paint software,open paint
jarvis close paint,close paint
close the paint,close paint
close paint,close paint
shut down paint,close paint
end paint,close paint
terminate paint,close paint
wrap up paint,close paint
conclude paint,close paint
finish with paint,close paint
cease paint,close paint
complete paint,close paint
close out paint,close paint
wrap up paint,close paint
shut paint down,close paint
conclude operation in paint,close paint
halt paint,close paint
bring paint to a close,close paint
terminate paint session,close paint
finalize paint,close paint
stop using paint,close paint
wind down paint,close paint
log off paint,close paint
sign out of paint,close paint
end the paint session,close paint
wrap things up in paint,close paint
call it a day in paint,close paint
close paint application,close paint
finish working in paint,close paint
put an end to paint,close paint
log out of paint,close paint
complete tasks in paint,close paint
jarvis open browser,open browser
open the browser,open browser
launch the browser,open browser
open up the web browser,open browser
start the browser,open browser
access the internet browser,open browser
initiate the browser,open browser
begin browsing,open browser
fire up the browser,open browser
activate the web browser,open browser
commence online navigation,open browser
get into browsing,open browser
run the browser,open browser
open the internet browser,open browser
start up the web browser,open browser
turn on the browser,open browser
unleash the browser,open browser
load the browser,open browser
begin online exploration,open browser
kick off browsing,open browser
enter the online world,open browser
access the browsing application,open browser
launch the web navigator,open browser
commence web surfing,open browser
open the surfing tool,open browser
activate the browser window,open browser
fire the web explorer,open browser
begin web navigation,open browser
unlock the browser,open browser
set the browser in motion,open browser
start the web journey,open browser
get started with the browser,open browser
jarvis close browser,close browser
close browser,close browser
exit the browser,close browser
close the web browser,close browser
shut down the browser,close browser
end browsing session,close browser
terminate the browser,close browser
wrap up the browsing,close browser
conclude web exploration,close browser
finish with the browser,close browser
cease online navigation,close browser
complete browsing,close browser
close out the browser,close browser
wrap up internet surfing,close browser
shut the browser down,close browser
conclude online session,close browser
halt the browser,close browser
bring browsing to a close,close browser
terminate web navigation,close browser
finalize online activities,close browser
stop using the browser,close browser
wind down internet exploration,close browser
log off the browser,close browser
sign out of web surfing,close browser
end the browsing session,close browser
wrap things up online,close browser
call it a day in the browser,close browser
close the web application,close browser
finish online work,close browser
put an end to web exploration,close browser
log out of online accounts,close browser
complete tasks in the browser,close browser
jarvis open youtube,open youtube
open youtube,open youtube
open the youtube,open youtube
launch youtube,open youtube
open up youtube,open youtube
start youtube,open youtube
access youtube,open youtube
initiate youtube,open youtube
begin youtube,open youtube
fire up youtube,open youtube
activate youtube,open youtube
commence youtube,open youtube
get into youtube,open youtube
run youtube,open youtube
load youtube,open youtube
open the youtube app,open youtube
start up youtube,open youtube
turn on youtube,open youtube
unleash youtube,open youtube
begin video streaming,open youtube
kick off youtube,open youtube
enter the world of youtube,open youtube
access the video platform,open youtube
launch the youtube website,open youtube
commence watching on youtube,open youtube
open the youtube channel,open youtube
activate youtube player,open youtube
fire the video service,open youtube
begin content streaming,open youtube
unlock youtube,open youtube
set youtube in motion,open youtube
start exploring youtube,open youtube
get started with youtube,open youtube
jarvis close youtube,close youtube
close youtube,close youtube
exit youtube,close youtube
close youtube,close youtube
shut down youtube,close youtube
end youtube,close youtube
terminate youtube,close youtube
wrap up youtube,close youtube
conclude youtube,close youtube
finish with youtube,close youtube
cease youtube,close youtube
complete youtube,close youtube
close out youtube,close youtube
wrap up video streaming,close youtube
shut youtube down,close youtube
conclude online video,close youtube
halt youtube,close youtube
bring youtube to a close,close youtube
terminate video session,close youtube
finalize youtube,close youtube
stop using youtube,close youtube
wind down video watching,close youtube
log off youtube,close youtube
sign out of video platform,close youtube
end youtube session,close youtube
wrap things up on youtube,close youtube
call it a day on youtube,close youtube
close the video app,close youtube
finish watching videos,close youtube
put an end to youtube,close youtube
log out of video accounts,close youtube
complete tasks on youtube,close youtube
jarvis what's the time now,time
tell me the time jarvis,time
can you tell the time,time
what is the time now,time
can i know the time,time
can you please tell me the time,time
may i know the time,time
can i know the current time,time
what is the time right now,time
tell me the time,time
share the current time,time
what time is it,time
i need to know the time,time
let me know what time it is,time
inform me of the time,time
what's the time on your watch,time
what's the current time,time
do you have the time,time
can you tell me the time,time
could you inform me of the time,time
provide me with the time please,time
what's on the clock right now,time
could you give me the time,time
could you share the time with me,time
what time does your clock say,time
could you clue me in on the time,time
i'm curious about the time,time
could you let me know the time,time
what time does it show,time
give me the time please,time
may i know the time,time
do you know what time it is,time
can you let me know the time,time
what's the time on your device,time
could you reveal the time,time
could you tell me the time please,time
let me know the time please,time
what time do you have,time
inform me of the current time,time
search in google ,search in google
search for,search in google
google for,search in google
search for,search in google
look up,search in google
find information on,search in google
investigate,search in google
explore,search in google
query for,search in google
seek,search in google
hunt down,search in google
investigate on google,search in google
probe into,search in google
scout for,search in google
delve into,search in google
ferret out,search in google
research about,search in google
examine,search in google
scrutinize,search in google
sift through,search in google
discover,search in google
uncover,search in google
retrieve information on,search in google
browse for,search in google
scan for,search in google
dive into,search in google
examine on google,search in google
seek out,search in google
investigate further,search in google
consult google for,search in google
fetch information on,search in google
take a look at,search in google
jarvis please increase the brightness ,increase brightness
could you brighten the screen,increase brightness
increase brightness,increase brightness
please increase the brightness,increase brightness
could you increase the brightness,increase brightness
boost the light,increase brightness
raise the shine,increase brightness
make it brighter,increase brightness
amp up the glow,increase brightness
increase the brilliance,increase brightness
lift the radiance,increase brightness
intensify the gleam,increase brightness
heighten the luminosity,increase brightness
enhance the brightness,increase brightness
step up the light,increase brightness
make it clearer,increase brightness
brighten it up,increase brightness
lift the brightness,increase brightness
emphasize the glow,increase brightness
add more light,increase brightness
raise the brilliance,increase brightness
amplify the shine,increase brightness
boost the vividness,increase brightness
lift the light,increase brightness
intensify the gleam,increase brightness
enhance the radiance,increase brightness
step up the glow,increase brightness
make it brighter,increase brightness
intensify the brilliance,increase brightness
amp up the luminosity,increase brightness
heighten the shine,increase brightness
increase the radiance,increase brightness
lift the brilliance,increase brightness
brighten the light,increase brightness
make it shine more,increase brightness
jarvis please decrease the brightness ,decrease brightness
could you brighten the screen,decrease brightness
decrease brightness,decrease brightness
please decrease the brightness,decrease brightness
could you decrease the brightness,decrease brightness
lower the light,decrease brightness
dim the shine,decrease brightness
reduce the brightness,decrease brightness
decrease the glow,decrease brightness
lessen the brilliance,decrease brightness
tone down the radiance,decrease brightness
soften the gleam,decrease brightness
lower the luminosity,decrease brightness
diminish the brightness,decrease brightness
tone down the light,decrease brightness
make it fainter,decrease brightness
dim it down,decrease brightness
decrease the brilliance,decrease brightness
cut the shine,decrease brightness
bring down the brightness,decrease brightness
dial back the glow,decrease brightness
lower the vividness,decrease brightness
soften the brilliance,decrease brightness
lessen the light,decrease brightness
dim the gleam,decrease brightness
reduce the radiance,decrease brightness
tone down the glow,decrease brightness
make it less bright,decrease brightness
decrease the luminosity,decrease brightness
lower the brilliance,decrease brightness
dim the shine,decrease brightness
lessen the radiance,decrease brightness
bring down the glow,decrease brightness
decrease the light,decrease brightness
make it dimmer,decrease brightness
jarvis please decrease the volume ,decrease volume
could you brighten the screen,decrease volume
decrease volume,decrease volume
please decrease the volume,decrease volume
could you decrease the volume,decrease volume
lower the sound,decrease volume
reduce the volume,decrease volume
turn it down,decrease volume
decrease the audio,decrease volume
soften the noise,decrease volume
quieten the sound,decrease volume
lower the intensity,decrease volume
hush the volume,decrease volume
diminish the audio,decrease volume
tone down the volume,decrease volume
muffle the sound,decrease volume
bring down the noise,decrease volume
dial back the volume,decrease volume
decrease the decibels,decrease volume
minimize the audio,decrease volume
cut the volume,decrease volume
dampen the sound,decrease volume
ease off on the volume,decrease volume
lower the amplitude,decrease volume
subdue the noise,decrease volume
tone down the loudness,decrease volume
make it quieter,decrease volume
attenuate the volume,decrease volume
lessen the audio,decrease volume
temper the sound,decrease volume
decrease the pitch,decrease volume
diminish the loudness,decrease volume
lower the audio level,decrease volume
mitigate the volume,decrease volume
mellow the sound,decrease volume
jarvis reduce the voulem,decrease volume
reduce the sound,decrease volume
reduce sound,decrease volume
jarvis please increase the volume ,increase volume
could you brighten the screen,increase volume
increase volume,increase volume
please increase the volume,increase volume
could you increase the volume,increase volume
raise the volume,increase volume
turn it up,increase volume
boost the sound,increase volume
amplify the audio,increase volume
enhance the volume,increase volume
crank up the noise,increase volume
up the decibels,increase volume
elevate the sound,increase volume
heighten the volume,increase volume
intensify the audio,increase volume
pump up the volume,increase volume
augment the sound,increase volume
increase the intensity,increase volume
raise the audio level,increase volume
escalate the volume,increase volume
jack up the noise,increase volume
push the volume higher,increase volume
bump up the sound,increase volume
lift the decibels,increase volume
amplify the volume,increase volume
turn up the volume knob,increase volume
maximize the audio,increase volume
enlarge the sound,increase volume
surge the volume,increase volume
step up the noise,increase volume
elevate the audio level,increase volume
heighten the sound,increase volume
crank the volume higher,increase volume
intensify the noise,increase volume
bolster the volume,increase volume
jarvis create a new folder,create folder
create a folder here,create folder
create a foldere for me,create folder
make a folder,create folder
make a new folder,create folder
I need a new folder,create folder
make a fresh directory,create folder
establish a new folder,create folder
generate a folder,create folder
craft a new directory,create folder
set up a fresh folder,create folder
construct a new directory,create folder
formulate a folder,create folder
build a new directory,create folder
initiate a new folder,create folder
develop a directory,create folder
organize a new folder,create folder
shape a new directory,create folder
generate a fresh folder,create folder
establish a folder,create folder
create a brand-new directory,create folder
settle a new folder,create folder
launch a new directory,create folder
institute a new folder,create folder
bring into being a folder,create folder
form a new directory,create folder
create a novel folder,create folder
begin a new directory,create folder
originate a fresh folder,create folder
assemble a new directory,create folder
construct a novel folder,create folder
start a new directory,create folder
form a brand-new folder,create folder
instigate a new directory,create folder
fabricate a fresh folder,create folder
develop a fresh directory,create folder
jarvis delete folder,delete folder
delete the folder,delete folder
delete this folder,delete folder
please delete this folder,delete folder
I need to delete this folder,delete folder
delete folder for me,delete folder
delete this folder please,delete folder
remove the directory,delete folder
erase the folder,delete folder
eliminate the file,delete folder
trash the directory,delete folder
wipe out the folder,delete folder
clear the directory,delete folder
purge the folder,delete folder
abolish the file,delete folder
annihilate the directory,delete folder
expunge the folder,delete folder
scrub the directory,delete folder
obliterate the file,delete folder
discard the folder,delete folder
exterminate the directory,delete folder
zap the file,delete folder
erase the directory,delete folder
dispose of the folder,delete folder
terminate the file,delete folder
scrub out the directory,delete folder
trash the file,delete folder
remove the folder,delete folder
eliminate the directory,delete folder
get rid of the file,delete folder
nix the folder,delete folder
obliterate the directory,delete folder
do away with the file,delete folder
discard the directory,delete folder
wipe away the folder,delete folder
expel the file,delete folder
banish the directory,delete folder
rename this folder,rename folder
rename the folder,rename folder
rename the directory,rename folder
rename this directory,rename folder
jarvis rename folder,rename folder
can you rename this folder,rename folder
jarvis rename this directory,rename folder
relabel this directory,rename folder
change the folder name,rename folder
modify this directory,rename folder
update the folder title,rename folder
alter this directory,rename folder
adjust the folder name,rename folder
transform this folder,rename folder
shift the directory label,rename folder
amend the folder title,rename folder
convert this directory,rename folder
tweak the folder name,rename folder
edit this directory,rename folder
vary the folder title,rename folder
revise this folder,rename folder
shift the directory name,rename folder
adjust the folder label,rename folder
update this directory,rename folder
alter the folder name,rename folder
amend this folder,rename folder
modify the directory title,rename folder
transform the folder label,rename folder
change this directory,rename folder
adapt the folder name,rename folder
adjust this folder,rename folder
rework the directory title,rename folder
convert the folder name,rename folder
tweak this directory,rename folder
shift the folder title,rename folder
vary this folder,rename folder
revise the directory label,rename folder
jarvis create a file,create file
create a file now,create file 
I want to create a file,create file
can you please create a file,create file
I need to create a file,create file
can you create a file for me,create file
Generate a file,create file
Formulate a file,create file
Establish a file,create file
Produce a file,create file
Craft a file,create file
Build a file,create file
Develop a file,create file
Construct a file,create file
Design a file,create file
Generate a document,create file
Initiate a file,create file
Author a file,create file
Compile a file,create file
Shape a file,create file
Invent a file,create file
Draft a file,create file
Concoct a file,create file
Forge a file,create file
Set up a file,create file
Originate a file,create file
Authorize a file,create file
Fabricate a file,create file
Generate a record,create file
Construct a document,create file
Establish a record,create file
Form a file,create file
Assemble a file,create file
Manifest a file,create file
Realize a file,create file
Bring a file into existence,create file
delete a file,delete file
jarvis I want to delete a file,delete file
remove a file,delete file
I need to delete a file,delete file
delete a file for me,delete file
I want to create a file,delete file
remove the file,delete file
erase the file,delete file
delete the file,delete file
wipe out the file,delete file
dispose of the file,delete file
obliterate the file,delete file
expunge the file,delete file
trash the file,delete file
purge the file,delete file
eliminate the file,delete file
unlink the file,delete file
discard the file,delete file
annihilate the file,delete file
eradicate the file,delete file
remove the file permanently,delete file
erase the file from existence,delete file
shred the file,delete file
abolish the file,delete file
dispose of the file data,delete file
clear the file,delete file
exterminate the file,delete file
get rid of the file,delete file
annul the file,delete file
