userCMD,action
liquidate the file,delete file
cancel the file,delete file
terminate the file,delete file
void the file,delete file
banish the file,delete file
dissolve the file,delete file
scrap the file,delete file
exit,exit
quit,exit
leave,exit
depart,exit
go,exit
close,exit
finish,exit
end,exit
stop,exit
cease,exit
terminate,exit
conclude,exit
break,exit
withdraw,exit
retire,exit
escape,exit
retreat,exit
finish,exit
wrap up,exit
discontinue,exit
abandon,exit
vacate,exit
bail,exit
pull out,exit
give up,exit
shut down,exit
drop out,exit
pull the plug,exit
check out,exit
bow out,exit
jarvis exit,exit
goodbye,exit
bye,exit
jarvis search in google,search in google
search in google ,search in google
search for me in google,search in google
browse in google,search in google
google search,search in google
look up on google,search in google
search on google,search in google
find on google,search in google
google it,search in google
query in google,search in google
seek on google,search in google
explore on google,search in google
investigate with google,search in google
look for on google,search in google
hunt down on google,search in google
research using google,search in google
probe on google,search in google
scan with google,search in google
browse google for,search in google
investigate via google,search in google
examine with google,search in google
scout on google,search in google
look into on google,search in google
fetch from google,search in google
scout out on google,search in google
delve into on google,search in google
fish for on google,search in google
explore through google,search in google
navigate google for,search in google
scrutinize with google,search in google
hunt on google,search in google
retrieve from google,search in google
survey on google,search in google
inspect using google,search in google
open google search,search in google
search in youtube,search in youtube
make youtube seach,search in youtube
search in youtube,search in youtube
jarvis browser in youtube,search in youtube
youtube search,search in youtube
look up on youtube,search in youtube
search on youtube,search in youtube
find on youtube,search in youtube
youtube it,search in youtube
query in youtube,search in youtube
seek on youtube,search in youtube
explore on youtube,search in youtube
investigate with youtube,search in youtube
look for on youtube,search in youtube
hunt down on youtube,search in youtube
research using youtube,search in youtube
probe on youtube,search in youtube
scan with youtube,search in youtube
browse youtube for,search in youtube
investigate via youtube,search in youtube
examine with youtube,search in youtube
scout on youtube,search in youtube
look into on youtube,search in youtube
fetch from youtube,search in youtube
scout out on youtube,search in youtube
delve into on youtube,search in youtube
fish for on youtube,search in youtube
explore through youtube,search in youtube
navigate youtube for,search in youtube
scrutinize with youtube,search in youtube
hunt on youtube,search in youtube
retrieve from youtube,search in youtube
survey on youtube,search in youtube
inspect using youtube,search in youtube
jarvis search in wikipedia,search in wikipedia
I want to search in wikipedia,search in wikipedia
search in wikipedia,search in wikipedia
open wikipedia search ,search in wikipedia
make a search in wikipedia,search in wikipedia
investigate on wikipedia,search in wikipedia
look up in wikipedia,search in wikipedia
explore on wikipedia,search in wikipedia
examine in wikipedia,search in wikipedia
seek information on wikipedia,search in wikipedia
probe in wikipedia,search in wikipedia
delve into wikipedia,search in wikipedia
research on wikipedia,search in wikipedia
browse wikipedia,search in wikipedia
inspect in wikipedia,search in wikipedia
scrutinize on wikipedia,search in wikipedia
navigate through wikipedia,search in wikipedia
scan wikipedia,search in wikipedia
hunt for details in wikipedia,search in wikipedia
investigate on wikipedia,search in wikipedia
explore entries in wikipedia,search in wikipedia
peruse wikipedia,search in wikipedia
refer to wikipedia,search in wikipedia
consult wikipedia,search in wikipedia
study on wikipedia,search in wikipedia
uncover in wikipedia,search in wikipedia
seek out in wikipedia,search in wikipedia
examine wikipedia,search in wikipedia
dig into wikipedia,search in wikipedia
retrieve information from wikipedia,search in wikipedia
look into wikipedia,search in wikipedia
check wikipedia,search in wikipedia
review wikipedia,search in wikipedia
go through wikipedia,search in wikipedia
investigate the pages of wikipedia,search in wikipedia
what is the temperature now,temperature
tell me the temperature,temperature
may I know the temperature,temperature
say the temperature,temperature
jarvis what is the temperature,temperature
temperature please,temperature
what's the temp,temperature
tell me temp,temperature
is it warm,temperature
temperature now,temperature
how hot is it,temperature
any warmth,temperature
current temp,temperature
what temp,temperature
tell temp,temperature
temp right now,temperature
give me temperature,temperature
current temperature,temperature
what's the heat,temperature
temp outside,temperature
give me temp,temperature
is it cold,temperature
temperature check,temperature
how cold,temperature
tell me weather,temperature
warm or cold,temperature
outdoor temp,temperature
give temperature,temperature
tell me hotness,temperature
what's outside,temperature
how warm,temperature
any chill,temperature
current temperature,temperature
tell me warmth,temperature
outdoor temperature,temperature
jarvis set alarm ,alarm
set an alarm,alarm
I want to set a alarm,alarm
I need to set alarm,alarm
Alarm please,alarm
set alarm,alarm
establish alarm,alarm
schedule alarm,alarm
arrange alarm,alarm
fix alarm,alarm
configure alarm,alarm
program alarm,alarm
activate alarm,alarm
initiate alarm,alarm
enable alarm,alarm
adjust alarm,alarm
determine alarm,alarm
define alarm,alarm
appoint alarm,alarm
select alarm,alarm
settle alarm,alarm
organize alarm,alarm
orchestrate alarm,alarm
put alarm,alarm
place alarm,alarm
install alarm,alarm
create alarm,alarm
settle alarm,alarm
position alarm,alarm
lay alarm,alarm
lay down alarm,alarm
settle alarm,alarm
establish alarm,alarm
formulate alarm,alarm
decide alarm,alarm
pause the video,pause video
jarvis pause the video,pause video
jarvis pause video,pause video
could you pause the video,pause video
i want to pause the video,pause video
would you mind pausing the video,pause video
can you pause video,pause video
pause youtube video,pause video
pause the youtube video,pause video
jarvis pause the youtube video,pause video
jarvis pause the youtube video,pause video
could you pause the youtube video,pause video
i want to pause the youtube video,pause video
would you mind pausing the youtube video,pause video
can you pause youtube video,pause video
pause youtube video,pause video
please pause youtube video,pause video
please pause the video,pause video
jarvis pause youtube video,pause video
play the video,play video
jarvis play the video,play video
jarvis play video,play video
could you play the video,play video
i want to play the video,play video
would you mind pausing the video,play video
can you play video,play video
play youtube video,play video
play the youtube video,play video
jarvis play the youtube video,play video
jarvis play the youtube video,play video
could you play the youtube video,play video
i want to play the youtube video,play video
would you mind pausing the youtube video,play video
can you play youtube video,play video
play youtube video,play video
please play youtube video,play video
please play the video,play video
jarvis play youtube video,play video
jarvis turn down the video volume,video volume down
jarvis reduce the video volume,video volume down
decrease the video volume,video volume down
i want to decrease the video volume,video volume down
i need to reduce video volume,video volume down
decrease video volume,video volume down
i need to reduce video volume,video volume down
jarvis turn down the youtube video volume,video volume down
jarvis reduce the youtube video volume,video volume down
decrease the youtube video volume,video volume down
i want to decrease the youtube video volume,video volume down
i need to reduce youtube video volume,video volume down
decrease youtube video volume,video volume down
i need to reduce youtube video volume,video volume down
mute the video,mute video
jarvis mute the video,mute video
jarvis mute video,mute video
could you mute the video,mute video
i want to mute the video,mute video
would you mind pausing the video,mute video
can you mute video,mute video
mute youtube video,mute video
mute the youtube video,mute video
jarvis mute the youtube video,mute video
jarvis mute the youtube video,mute video
could you mute the youtube video,mute video
i want to mute the youtube video,mute video
would you mind pausing the youtube video,mute video
can you mute youtube video,mute video
mute youtube video,mute video
please mute youtube video,mute video
please mute the video,mute video
jarvis mute youtube video,mute video
jarvis set remainder ,remainder
set an remainder,remainder
I want to set a remainder,remainder
I need to set remainder,remainder
remainder please,remainder
set remainder,remainder
establish remainder,remainder
schedule remainder,remainder
arrange remainder,remainder
fix remainder,remainder
configure remainder,remainder
program remainder,remainder
activate remainder,remainder
initiate remainder,remainder
enable remainder,remainder
adjust remainder,remainder
determine remainder,remainder
define remainder,remainder
appoint remainder,remainder
select remainder,remainder
settle remainder,remainder
organize remainder,remainder
orchestrate remainder,remainder
put remainder,remainder
place remainder,remainder
install remainder,remainder
create remainder,remainder
settle remainder,remainder
position remainder,remainder
lay remainder,remainder
lay down remainder,remainder
settle remainder,remainder
establish remainder,remainder
formulate remainder,remainder
decide remainder,remainder
open my playlist,playlist
create a new playlist,playlist
add tracks to my playlist,playlist
play my playlist,playlist
remove songs from playlist,playlist
shuffle my playlist,playlist
edit my playlist,playlist
loop my playlist,playlist
start a playlist,playlist
clear my playlist,playlist
organize my playlist,playlist
sort my playlist,playlist
load my playlist,playlist
begin a new playlist,playlist
manage my playlist,playlist
save my playlist,playlist
access my playlist,playlist
review my playlist,playlist
handle my playlist,playlist
listen to my playlist,playlist
manage my playlist,playlist
delete my playlist,playlist
set up my playlist,playlist
adjust my playlist,playlist
rearrange my playlist,playlist
monitor my playlist,playlist
view my playlist,playlist
select my playlist,playlist
change my playlist,playlist
browse my playlist,playlist
present the freshest updates,latest news
exhibit the latest news stories,latest news
share the newest developments,latest news
feature the latest breaking news,latest news
showcase the up-to-date information,latest news
reveal the most recent news items,latest news
illustrate the most recent news reports,latest news
disclose the freshest news stories,latest news
broadcast the most recent news events,latest news
discern the latest news alerts,latest news
portray the latest news headlines,latest news
expose the latest news bulletins,latest news
share the latest news flashes,latest news
provide the newest news summaries,latest news
unravel the latest news scoop,latest news
showcase the newest news features,latest news
deliver the latest news updates,latest news
illustrate the latest news stories,latest news
broadcast the latest news updates,latest news
unveil the latest news articles,latest news
unveil the latest news articles,latest news
share the latest news features,latest news
unveil the latest news developments,latest news
present the freshest news updates,latest news
broadcast the latest news headlines,latest news
feature the newest news items,latest news
showcase the latest news reports,latest news
display the most recent news events,latest news
highlight the latest news stories,latest news
reveal the latest news headlines,latest news
jarvis show me some latest news,latest news
what is the latest news,latest news
show me latest news,latest news
show me some headlines,latest news
display news,latest news
can you tell news,latest news
display some news,latest news
open jarvis calculator,calculator
open calculator now,calculator
i want to open jarvis calculator,calculator
jarvis open calculator,calculator
can you open calculator,calculator
start calculator,calculator
launch calculator,calculator
activate calculator,calculator
run calculator,calculator
access calculator,calculator
begin calculator,calculator
load calculator,calculator
turn on calculator,calculator
fire up calculator,calculator
initiate calculator,calculator
pull up calculator,calculator
enable calculator,calculator
call up calculator,calculator
open calculator app,calculator
get calculator running,calculator
bring up calculator,calculator
invoke calculator,calculator
access math tool,calculator
access math calculator,calculator
start math tool,calculator
open math calculator,calculator
start the calculator,calculator
load up calculator,calculator
turn on math calculator,calculator
fire off calculator,calculator
start up calculator,calculator
access tool,calculator
activate math tool,calculator
get math tool running,calculator
call up math calculator,calculator
i want to send a message in whatsapp,whatsapp
i want to message someone in whatsapp,whatsapp
jarvis i need to message someone through whatsapp,whatsapp
i need to send a message in whatsapp,whatsapp
i wanna send a msg in whatsapp,whatsapp
i have to send a msg in whatsapp,whatsapp
i gotta send a msg in whatsapp,whatsapp
i wanna text in whatsapp,whatsapp
i gotta send a message in whatsapp,whatsapp
i gotta message in whatsapp,whatsapp
i need to send a txt in whatsapp,whatsapp
i need to send a whatsapp msg,whatsapp
i gotta whatsapp,whatsapp
i wanna send a txt on whatsapp,whatsapp
i have to message in whatsapp,whatsapp
i wanna text on whatsapp,whatsapp
i have to send a whatsapp,whatsapp
i wanna whatsapp,whatsapp
i have to text in whatsapp,whatsapp
i have to send a whatsapp msg,whatsapp
i need to whatsapp,whatsapp
i gotta send a text in whatsapp,whatsapp
i need to send a whatsapp message,whatsapp
i need to text in whatsapp,whatsapp
i gotta send a whatsapp message,whatsapp
i need to message on whatsapp,whatsapp
i have to send a text on whatsapp,whatsapp
i wanna whatsapp message,whatsapp
i have to send a msg on whatsapp,whatsapp
i wanna whatsapp msg,whatsapp
i have to whatsapp,whatsapp
i have to send a txt on whatsapp,whatsapp
i have to send a whatsapp text,whatsapp
jarvis shut down the system,shut down
shut down the system,shut down
shut down the laptop,shut down
shut down the laptop,shut down
turn off the computer,shut down
power down the pc,shut down
shut the laptop down,shut down
turn off the machine,shut down
power down the device,shut down
shut the computer down,shut down
turn the laptop off,shut down
shut the pc down,shut down
power off the computer,shut down
turn the machine off,shut down
shut the device down,shut down
close the laptop,shut down
stop the computer,shut down
shut off the pc,shut down
end the laptop,shut down
cease the computer,shut down
close the pc,shut down
terminate the laptop,shut down
finish the computer,shut down
stop the machine,shut down
end the device,shut down
close down the laptop,shut down
stop the pc,shut down
end the machine,shut down
close down the computer,shut down
stop the device,shut down
end the pc,shut down
close the machine,shut down
stop the laptop,shut down
can you schedule my day,schedule
jarvis schedule my day,schedule
schedule the activities,schedule
schedule my day,schedule
can you schedule my day,schedule
schedule my tasks,schedule
schedule arrange my day,schedule
schedule set my day,schedule
schedule organize my day,schedule
schedule plan my day,schedule
schedule structure my day,schedule
schedule timetable my day,schedule
schedule plot my day,schedule
schedule chart my day,schedule
schedule program my day,schedule
schedule map out my day,schedule
schedule fix my day,schedule
schedule block out my day,schedule
schedule arrange the day,schedule
schedule set up my day,schedule
schedule order my day,schedule
schedule slot my day,schedule
schedule roster my day,schedule
schedule slate my day,schedule
schedule line up my day,schedule
schedule arrange for my day,schedule
schedule order up my day,schedule
schedule fix up my day,schedule
schedule timetable out my day,schedule
schedule pencil in my day,schedule
schedule mark out my day,schedule
schedule diarize my day,schedule
schedule book in my day,schedule
schedule regulate my day,schedule
schedule program out my day,schedule
schedule map my day,schedule
open scheduler,schedule
check my internet speed,internet speed
jarvis tell me the speed of internet,internet speed
what is the intenet speed,internet speed
jarvis internet speed,internet speed
tell me the internet speed,internet speed
share the internet speed,internet speed
what is our internet speed,internet speed
the internet speed please,internet speed
what's the speed,internet speed
update on internet speed,internet speed
status of internet speed,internet speed
kindly report internet speed,internet speed
internet speed details,internet speed
current internet speed,internet speed
our internet speed,internet speed
show internet speed,internet speed
display internet speed,internet speed
inform about internet speed,internet speed
internet speed specifics,internet speed
internet speed status,internet speed
internet speed info,internet speed
please provide internet speed,internet speed
internet speed confirmation,internet speed
internet speed now,internet speed
internet speed please,internet speed
how fast is the internet,internet speed
internet speed update,internet speed
internet speed details please,internet speed
share the current speed,internet speed
speed of the internet,internet speed
our current internet speed,internet speed
the speed please,internet speed
speed check,internet speed
measure internet speed,internet speed
jarvis tell me the cricket score,cricket score
what is score in cricket,cricket score
what is the cricket score,cricket score
tell me the cricket score,cricket score
share the cricket score,cricket score
the cricket score please,cricket score
cricket score now,cricket score
update on cricket score,cricket score
status of cricket score,cricket score
kindly report cricket score,cricket score
cricket score details,cricket score
current cricket score,cricket score
show cricket score,cricket score
display cricket score,cricket score
inform about cricket score,cricket score
cricket score specifics,cricket score
cricket score info,cricket score
please provide cricket score,cricket score
cricket score confirmation,cricket score
"cricket score, now",cricket score
"cricket score, please",cricket score
how's the cricket score,cricket score
cricket score update,cricket score
cricket score details please,cricket score
share the current score,cricket score
score of the cricket match,cricket score
"current score, please",cricket score
what's the score,cricket score
update on the score,cricket score
status of the score,cricket score
kindly report the score,cricket score
details of the score,cricket score
lets play a game,games
can we play some games,games
I want to play games,games
open jarvis game center,games
lets play game,games
lets play a game,games
lets have fun,games
ready to play,games
game time,games
lets get gaming,games
lets play together,games
lets have some fun,games
lets start game,games
lets kick off game,games
lets game it,games
ready set game,games
its game time,games
lets game together,games
lets engage game,games
lets play game,games
time for game,games
game fun,games
game on,games
lets start playing,games
lets begin game,games
lets have game,games
lets get started,games
lets play,games
lets have a blast,games
lets have a good time,games
lets game now,games
lets game together,games
lets have a go,games
lets get into game,games
can we play a game,games
tell me my location,location
tell the location please,location
please share your location,location
let me know your location,location
share your current location,location
could you provide your location,location
your location please,location
inform me of your location,location
where are you located,location
state your location,location
kindly share your location,location
your whereabouts,location
what is your location,location
advise on your location,location
disclose your location,location
where can i find you,location
what's your site,location
tell me your position,location
"whereabouts, please",location
share your coordinates,location
give me your location,location
inform your location,location
what's your place,location
tell me where you are,location
could you tell me your location,location
i need your location,location
inform me your location,location
reveal your location,location
where are you,location
let me know your whereabouts,location
where are you at,location
what's your location,location
open file,open file
open the file,open file
start file,open file
start the file,open file
access file,open file
access the file,open file
launch file,open file
launch the file,open file
begin file,open file
begin the file,open file
initiate file,open file
initiate the file,open file
commence file,open file
commence the file,open file
unveil file,open file
unveil the file,open file
uncover file,open file
uncover the file,open file
reveal file,open file
reveal the file,open file
load file,open file
load the file,open file
fire up file,open file
fire up the file,open file
kick off file,open file
kick off the file,open file
activate file,open file
activate the file,open file
kickstart file,open file
kickstart the file,open file
i want to open a file,open file
could you open a file,open file
open a file jarvis,open file
open a file jarvis,open file
open a file for me,open file
can you open a file,open file
can you open file,open file
thank you jarvis exit,exit
jarvis you can now exit,exit
exit now,exit
jarvis exit,exit
exit ,exit
exit please,exit
thank you for your help jarvis,exit
you can exit,exit
exit jarvis,exit
please exit,exit
i want to send an email,mail
send an email jarvis,mail
send an email ,mail
i want to send a mail,mail
send a mail,mail
send a mail jarvis,mail
construct a mail,mail
write an email,mail
i want to send a gmail,mail
send a gmail,mail
